IDfg,AVG+,OBP+,SLG+,BABIP+,BB%+,HardHit%,wFB,wSL,wCT,wCB,wCH,wSF,vs RHP,vs LHP
21562,111,99,106,118,68,0.503,1.6,-0.2,0.3,-2.8,3.2,-1.7,0.217,0.302
19363,105,98,100,110,43,0.402,1.6,1.7,-3.2,-2.1,1.0,0.1,0.203,0.354
16622,80,98,100,88,102,0.35,1.9,-2.6,0.7,-1.4,-0.2,1.3,0.213,0.17
19522,91,98,94,77,93,0.315,-0.1,-2.3,4.4,1.4,-2.0,1.3,0.23,0.209
25575,98,103,94,129,125,0.38299999999999995,4.3,-6.1,-0.8,-0.4,2.6,-0.2,0.244,0.111
16947,98,86,105,109,35,0.36700000000000005,0.4,-2.8,0.5,1.4,0.6,-0.4,0.2,0.306
12859,97,90,98,95,69,0.377,-0.1,-1.0,-3.2,-0.6,0.6,1.0,0.246,0.212
20321,87,91,91,88,89,0.368,6.8,-2.7,-0.8,-0.6,-3.2,-0.2,0.152,0.273
33824,106,98,82,92,77,0.41,-3.6,2.1,-1.6,-0.2,2.1,0.0,0.277,0.227
17040,92,92,79,102,96,0.231,-1.5,-0.9,-1.5,3.0,-0.9,-0.6,0.234,0.212
10028,85,77,91,83,41,0.419,0.8,-1.9,-0.3,-2.0,-1.7,-0.4,0.191,0.24
15674,87,91,75,91,101,0.26899999999999996,-1.3,-3.1,-1.4,0.6,-0.3,-0.8,0.215,0.167
7859,104,104,102,99,105,0.272,0.7,3.1,7.2,0.5,-1.6,-0.7,0.255,0.26
16472,87,96,104,85,124,0.419,2.1,-4.9,3.2,-3.1,1.3,0.3,0.212,0.218
20572,89,82,111,85,51,0.424,3.3,-3.7,0.0,-0.6,-0.1,-0.7,0.202,0.3
